label,compressor,bitwidth,stage,context_length,key_rmse,value_rmse,attention_rmse,attention_cosine,attention_max_error,uncompressed_bytes,compressed_bytes,compression_ratio,effective_bits_per_kv_element,shared_metadata_bytes,perplexity_compressed,perplexity_baseline,tokens_per_second,latency_ms_per_token,online_compressed_kv,finished_at
rocketkv_r1024,rocketkv,16,,128,0.0,0.0,0.0,0.892822265625,0.0,14680064,14795648,0.9921879731120935,16.1259765625,0,11069152.419549076,14.207357388256316,16.971988397709023,58.92061534374993,True,2026-07-05T20:00:03.769131+00:00
rocketkv_r1024,rocketkv,16,,256,0.0,0.0,0.0,0.7850864955357143,0.0,29360128,29590400,0.99221801665405,16.12548828125,0,8743788.903397568,17.667764627830792,19.886611432475544,50.28508770312495,True,2026-07-05T19:59:44.303562+00:00
rocketkv_r1024,rocketkv,16,,512,0.0,0.0,0.0,0.6033063616071429,0.0,58720256,59179904,0.9922330391073294,16.125244140625,0,7207312.211939592,14.114851285222572,18.144600034928377,55.11281582812511,True,2026-07-05T20:00:20.516962+00:00
rocketkv_r256,rocketkv,16,,128,0.0,0.0,0.0,0.892822265625,0.0,14680064,14795648,0.9921879731120935,16.1259765625,0,11069152.419549076,14.207357388256316,16.668233927746538,59.994358390624946,True,2026-07-05T19:59:45.317257+00:00
rocketkv_r256,rocketkv,16,,256,0.0,0.0,0.0,0.7850864955357143,0.0,29360128,29590400,0.99221801665405,16.12548828125,0,8749952.44559085,17.65838206364638,9.313310293820887,107.37320764062497,True,2026-07-05T19:59:59.984802+00:00
rocketkv_r256,rocketkv,16,,512,0.0,0.0,29.800308634539523,0.4443882533482143,1374.0,58720256,29590400,1.9844360333081,8.062744140625,0,6764124.997766198,14.114851285222572,9.245867690033817,108.15642550000004,True,2026-07-05T20:00:25.792987+00:00
rocketkv_r25,rocketkv,16,,128,0.0,0.0,0.0,0.892822265625,0.0,14680064,6473600,2.267681660899654,7.0556640625,0,10414510.477801315,14.207357388256316,17.63753559343216,56.69726332812497,True,2026-07-05T15:52:18.299014+00:00
rocketkv_r25,rocketkv,16,,256,0.0,0.0,0.0,0.7850864955357143,0.0,29360128,10172288,2.886285563287237,5.54345703125,0,35453467.41724531,17.667764627830792,14.506791927205658,68.93322831250003,True,2026-07-05T15:52:34.240983+00:00
rocketkv_r25,rocketkv,16,,512,0.0,0.0,0.0,0.6033063616071429,0.0,58720256,17569664,3.342138813809985,4.787353515625,0,51534736.53302874,14.114851285222572,9.297392909047524,107.55703343750001,True,2026-07-05T15:53:09.448506+00:00
rocketkv_r50,rocketkv,16,,128,0.0,0.0,0.0,0.892822265625,0.0,14680064,9247616,1.5874430772211996,10.0791015625,0,8741888.598066347,14.207357388256316,17.619775204066755,56.75441306250001,True,2026-07-05T15:52:20.522796+00:00
rocketkv_r50,rocketkv,16,,256,0.0,0.0,0.0,0.7850864955357143,0.0,29360128,16644992,1.763901598751144,9.07080078125,0,14526021.799679939,17.65838206364638,12.339797099523583,81.03860962500009,True,2026-07-05T15:52:40.934465+00:00
rocketkv_r50,rocketkv,16,,512,0.0,0.0,0.0,0.6033063616071429,0.0,58720256,31439744,1.8677078286642537,8.566650390625,0,36697566.8594795,14.114851285222572,8.212332916381639,121.76807859375005,True,2026-07-05T15:53:31.248963+00:00
rocketkv_r512,rocketkv,16,,128,0.0,0.0,0.0,0.892822265625,0.0,14680064,14795648,0.9921879731120935,16.1259765625,0,11069152.419549076,14.207357388256316,16.68809406645569,59.922960406250006,True,2026-07-05T19:59:49.733010+00:00
rocketkv_r512,rocketkv,16,,256,0.0,0.0,0.0,0.7850864955357143,0.0,29360128,29590400,0.99221801665405,16.12548828125,0,8749952.44559085,17.65838206364638,15.674820265518383,63.796584781250054,True,2026-07-05T19:59:58.772479+00:00
rocketkv_r512,rocketkv,16,,512,0.0,0.0,0.0,0.6033063616071429,0.0,58720256,59179904,0.9922330391073294,16.125244140625,0,7202465.479166079,14.114851285222572,7.4574189797894,134.09465160937495,True,2026-07-05T20:00:17.286716+00:00
rocketkv_r75,rocketkv,16,,128,0.0,0.0,0.0,0.892822265625,0.0,14680064,12021632,1.221137363046881,13.1025390625,0,9448165.945449678,14.207357388256316,17.604723618459587,56.802936624999965,True,2026-07-05T15:52:23.551042+00:00
rocketkv_r75,rocketkv,16,,256,0.0,0.0,0.0,0.7850864955357143,0.0,29360128,23117696,1.270028293476997,12.59814453125,0,9226797.215456782,17.667764627830792,14.119899088249353,70.82203589062507,True,2026-07-05T15:52:41.042462+00:00
rocketkv_r75,rocketkv,16,,512,0.0,0.0,0.0,0.6033063616071429,0.0,58720256,45309824,1.295971840455615,12.345947265625,0,11829014.468409613,14.114851285222572,9.215146884407563,108.51698975000002,True,2026-07-05T15:53:09.607747+00:00
